Species,Common name,Scientific name,Price,date
Amphibians,Yellow Sipaliwini Tinctorius Dart Frog,null,$39.99,26. Oct 19 
Lizards,Baby Spanish Jeweled Lacerta,Timon lepidus,$74.99,07. Nov 19 
Snakes,Baby Irian Jaya Caramel Carpet Python,Morelia spilota variegata,$149.99,07. Nov 19 
Amphibians,Super Green Auratus Dart Frog,Dendrobates auratus,$39.99,07. Nov 19 
Inverts,Giant South African Flat Rock Scorpion,Hadogenes troglodytes,$24.99,06. Nov 19 
Inverts,African Bark Scorpion,Hottentotta sp.,$24.99,06. Nov 19 
Geckos,Baby Tibetan Frog Eye Gecko,Teratoscincus roborowskii,$24.99,06. Nov 19 
Turtles,Three Stripe Mud Turtle,Kinosternon baurii,$59.99,06. Nov 19 
Inverts,Ornate Tiger Tarantula,Poecilotheria ornata,$39.99,06. Nov 19 
Lizards,Ambanja Panther Chameleon,Furcifer pardalis,$299.99,06. Nov 19 
Amphibians,Adult Brown Suriname Horned Frog,Ceratophrys cornuta,$49.99,06. Nov 19 
Inverts,Brown Tree Tarantula,tapinauchenius sp.,$24.99,06. Nov 19 
Snakes,Tiger Rat Snake,Spilotes pullatus,$224.99,06. Nov 19 
Snakes,Baby Albino Nelson’s Milksnake,Lampropeltis triangulum nelsoni,$74.99,19. Oct 19 
Snakes,Baby Jayapura Green Tree Python,Morelia viridis,$399.99,19. Oct 19 
Inverts,Tailless Whip Scorpion,Damon variegatus,$19.99,18. Oct 19 
Amphibians,Crested Toad,Rhinella margaritifera,$24.99,18. Oct 19 
Amphibians,High Red Dragon Wing Ornate Pacman Frog,Ceratophrys cranwelli,$49.99,18. Oct 19 
Inverts,Stout Leg Baboon Tarantula,Eurcratoscelus pachypus,$14.99,18. Oct 19 
Lizards,Solomon Island Black Tree Skink,null,$39.99,18. Oct 19 
Inverts,Giant Thorny Phasmid,Eurycantha calcarata,$24.99,17. Oct 19 
Amphibians,Marbled Salamander,null,$19.99,17. Oct 19 
Lizards,9 to 11 inch Translucent Veiled Chameleon,null,$84.99,06. Nov 19 
Turtles,Baby Common Snapping Turtles,null,$9.99,06. Nov 19 
Inverts,Dark Earth Tiger Tarantula,chilobrachys huahini,$34.99,06. Nov 19 
Snakes,Baby Black-Necked Gartersnake,Thamnophis cyrtopsis,$39.99,06. Nov 19 
Lizards,Adult Spiny Tailed Iguana,Ctenasaura similis,$49.99,06. Nov 19 
