Species,Common name,Scientific name,Price,date
Amphibians,Green Tree Frog,Hyla cinerea,$3.99,14. Aug 19 
Amphibians,New Mexico Spadefoot Toad,Spea multiplicata,$6.99,13. Aug 19 
Geckos,Cameroon Dwarf Gecko,Lygodactylus conraui,$14.99,13. Aug 19 
Inverts,Asian Forest Scorpion,null,$19.99,13. Aug 19 
Tegus,Baby Argentine Black and White Tegu,TUPINAMBIS MERIANAE,$199.99,12. Aug 19 
Snakes,Baby Tiger Coastal Carpet Python,Morelia spilota mcdowelli,$149.99,12. Aug 19 
Snakes,Baby Albino Florida Kingsnake,null,$59.99,12. Aug 19 
Amphibians,Marbled Hopper Frogs,Scaphiophryne marmorata,$39.99,12. Aug 19 
Inverts,Warrior Beetle,Pasimachus californicus,$19.99,28. Oct 19 
Lizards,Abronia Smithi,Abronia Smithi,$499.99,28. Oct 19 
Venomous,Baby Angolan Coral Cobra,Aspidelaps lubricus cowlesi,$199.99,28. Oct 19 
Lizards,6-8 Inch Hypo Bearded Dragon,Pogona vitticeps,$54.99,28. Oct 19 
Snakes,Baby Albino Anaconda Western Hognose Snake,Heterodon nasicus,$224.99,28. Oct 19 
Lizards,Baby Dumerils Monitor,Varanus Dumerilii,$349.99,28. Oct 19 
Amphibians,Mozambique Rain Frog,Breviceps mossambicus,$39.99,28. Oct 19 
Lizards,6 to 8 inch Veiled Chameleon,Chamaeleo calyptratus,$54.99,28. Oct 19 
Amphibians,Southern Toad,Anaxyrus terrestris,$4.99,28. Oct 19 
Inverts,Unicorn Mantis,null,$59.99,28. Oct 19 
Geckos,Baby Flying Gecko,Ptychozoon kuhli,$24.99,28. Oct 19 
Lizards,Baby Ornate Nile Monitor,Varanus ornatus,$34.99,28. Oct 19 
Snakes,Goldenchild Reticulated Python,null,$399.99,28. Oct 19 
Inverts,Ivory Millipede,Chicobolus spinigerus,$6.99,28. Oct 19 
Amphibians,Big Eye Tree Frog,Leptopelis vermiculatus,$11.99,28. Oct 19 
Lizards,Carpet Chameleon,null,$74.99,28. Oct 19 
Turtles,Yearling Southern Black Knob Map Turtles,Graptemys nigrinoda delticola,$199.99,01. Aug 19 
Turtles,Baby Northern Redbelly Slider Turtle,Pseudemys rubriventris,$39.99,01. Aug 19 
Snakes,Baby Blue Garter Snake,null,$14.99,31. Jul 19 
Lizards,Baby Rhino Iguana,Cyclura cornuta,$499.99,31. Jul 19 
Snakes,Baby Sorong Green Tree Python,null,$449.99,30. Jul 19 
Geckos,Baby Tangerine Leopard Gecko,Eublepharis macularius,$24.99,29. Jul 19 
Lizards,6 – 8 Inch Translucent Veiled Chameleon,Chamaeleo calyptratus,$59.99,29. Jul 19 
Lizards,Baby American Alligator,Alligator mississippiensis,$149.99,28. Jul 19 
Isopods,Agabiformus Lentus Isopod,Agabiformus Lentus,$9.99,27. Jul 19 
Lizards,Baby Smooth-Fronted Caiman,Paleosuchus trigonatus,$199.99,25. Jul 19 
Inverts,Peruvian Giant Centipede,Scolopendra galapagoensis,$299.99,27. Oct 19 
Amphibians,Green Sipaliwini Dart Frog,Dendrobates tinctorius,$39.99,27. Oct 19 
Snakes,Crowned Leaf Nose Snake,Lytorhynchus diadema,$49.99,27. Oct 19 
Inverts,Giant Forest Mantis,Hierodula majuscula,$14.99,27. Oct 19 
Snakes,Adult Biak Green Tree Python,Morelia viridis,$499.99,27. Oct 19 
Snakes,Baby Licorice Rat Snake,Elaphe obsoleta obsoleta,$44.99,27. Oct 19 
Lizards,Baby Painted Agama,Laudakia stellio brachydactyla,$69.99,27. Oct 19 
Lizards,Tamatave Panther Chameleon,Furcifer pardalis,$349.99,27. Oct 19 
Snakes,Adult Albino Corn Snake,Pantherophis guttatus,$74.99,27. Oct 19 
Snakes,Baby Snow Motley Cornsnake,Pantherophis guttatus,$69.99,27. Oct 19 
Tegus,Albino Ultra Purple Tegu #2,SALVATOR MERIANAE X RUFESCENS,"$2,499.99",27. Oct 19 
Turtles,Baby Yellow Mud Turtle,Kinosternon flavescens,$79.99,27. Oct 19 
Inverts,Mexican Red Leg Tarantula,Brachypelma emilia,$84.99,27. Oct 19 
Snakes,Baby Sunglow Colombian Redtail Boa,Boa constrictor imperator,$374.99,27. Oct 19 
Lizards,Haitain Galliwasp,null,$149.99,27. Oct 19 
Geckos,Malaysian Cat Eye Gecko,Aeluroscalabotes felinus,$74.99,27. Oct 19 
Snakes,Baby Northern Pine Snake,Pituophis melanoleucus,$64.99,27. Oct 19 
Snakes,Baby Desert Kingsnake,Lampropeltis getula splendida,$59.99,16. Jul 19 
Tortoises,Home’s Hingeback Tortoise,Kinixys homeana,$59.99,15. Jul 19 
Lizards,Solomon Island Ground Skink,Eugongylus albofasciolatus,$124.99,15. Jul 19 
Snakes,Baby Everglades Ratsnake,Elaphe obsoleta rossalleni,$99.99,14. Jul 19 
Inverts,Vietnamese Centipede,Scolopendra dehaani,$19.99,13. Jul 19 
Lizards,Madagascan Spiny Tail Iguana (Grandidieri),Oplurus grandidieri,$39.99,12. Jul 19 
Lizards,Desert Collared Lizard,Crotaphytus bicinctores,$24.99,10. Jul 19 
Snakes,Baby Coastal Jaguar Carpet Python,Morelia spilota mcdowelli,$149.99,10. Jul 19 
Inverts,Emerald Skeleton Tarantula,Ephebopus uatuman,$34.99,09. Jul 19 
Lizards,Mountain Horned Lizard,Acanthosaura capra,$14.99,26. Oct 19 
Geckos,Baby Leucistic Albino Leopard Gecko,Eublepharis macularius,$44.99,26. Oct 19 
Lizards,Lined Skink,Plestiodon fasciatus,$9.99,26. Oct 19 
Turtles,Adult Eastern Mud Turtle,null,$29.99,26. Oct 19 
Amphibians,Firebelly Toad,Bombina orientalis,$14.99,26. Oct 19 
Lizards,Baby Desert Collared Lizard,null,$24.99,26. Oct 19 
Snakes,Baby Irian Jaya x Coastal Carpet Python,null,$74.99,26. Oct 19 
Lizards,Baby Kei Island Blue Tongue Skink,Tiliqua gigas keyensis,$349.99,26. Oct 19 
Snakes,Baby Checkered Garter Snake,Thamnophis marcianus,null,26. Oct 19 
Lizards,3-4 Foot Green Iguana,Iguana iguana,$29.99,26. Oct 19 
Amphibians,Albino Red Eyed Tree Frog,Agalychnis callidryas,$59.99,26. Oct 19 
Snakes,Baby Arabesque Redtail Boa,null,$224.99,22. Jun 19 
Geckos,Central American Banded Gecko,Coleonyx mitratus,$24.99,20. Jun 19 
Tortoises,Hermann’s Tortoise,Testudo hermanni,$149.99,20. Jun 19 
Lizards,Emperor Flat Rock Lizard,Platysaurus imperator,$74.99,20. Jun 19 
Amphibians,Starfire Pacman Frog,null,$34.99,20. Jun 19 
Inverts,Indian Ornamental Tarantula,Poecilotheria regalis,$59.99,20. Jun 19 
Inverts,Dead Leaf Mantis,Deroplatys desiccata,$29.99,20. Jun 19 
Lizards,Tanimbar Blue Tongue Skink,T. scincoides chimaerea,$249.99,19. Jun 19 
Inverts,Emperor Scorpion,Pandinus imperator,$34.99,18. Jun 19 
Lizards,Baby Cayman Brac Iguana,Cyclura nubila caymanensis,$749.99,18. Jun 19 
Geckos,Madagascar Crimson Giant Day Gecko,null,$39.99,25. Oct 19 
Turtles,Narrow-Bridged Mexican Musk Turtle,Claudius angustatus,$199.99,25. Oct 19 
Lizards,5-6 Foot Green Iguanas,Iguana iguana,$199.99,25. Oct 19 
Snakes,Baby Hypo Western Hognose Snake,Heterodon nasicus,$249.99,25. Oct 19 
Snakes,Baby Bay Of LA Rosy Boas,Lichanura trivirgata saslowi,$99.99,25. Oct 19 
Turtles,Baby Southern River Cooter Turtle,Pseudemys Concinna Concinna,$6.99,25. Oct 19 
Tegus,Baby Albino Lemon Ice Tegu,TUPINAMBIS MERIANAE X TUPINAMBIS RUFESCENS,"$2,499.99",25. Oct 19 
Inverts,Feather Tail Centipede,Alipes grandidieri,$14.99,25. Oct 19 
Inverts,Egyptian Pygmy Mantis,Miomantis paykullii,$29.99,25. Oct 19 
Snakes,Vietnamese Vine Snake,Ahaetulla nasuta,$39.99,25. Oct 19 
Snakes,Baby Tiger Jaguar Coastal Carpet Python,Morelia spilota mcdowelli,$199.99,25. Oct 19 
Snakes,Baby Pastel Butter Ball Python,null,$109.99,24. Oct 19 
Geckos,Adult Tiger Crested Gecko,Correlophus ciliatus,$59.99,24. Oct 19 
Snakes,Asian Vine Snakes,Ahaetulla nasuta,$24.99,11. Jun 19 
Snakes,Baby Buf Amelanistic Cornsnake,Pantherophis guttatus,$99.99,09. Jun 19 
Lizards,Adult Caiman Lizard,Dracaena guianensis,$749.99,06. Jun 19 
Lizards,Medium Mountain Horned Lizard,null,$16.99,03. Jun 19 
Snakes,Adult Anery Stripe Kenyan Sand Boa,Eryx colubrinus,$174.99,01. Jun 19 
Tortoises,Russian Tortoise,Testudo horsfieldii,$49.99,31. May 19 
Venomous,Sterjeni’s Bamboo Pit Viper,Trimeresurus stejnegeri,$399.99,31. May 19 
Snakes,Baby Flame Brooks Kingsnake,Lampropeltis getula brooksi,$49.99,30. May 19 
Inverts,Brazilian Pink Bloom Tarantula,null,$79.99,29. May 19 
Lizards,Yellow Tree Monitor,Varanus Reisingeri,"$4,999.99",23. Oct 19 
Lizards,Wedge-Snouted Skink,Chalcides sepsoides,$24.99,23. Oct 19 
Lizards,Baby Dwarf Caiman,Paleosuchus palpebrosus,$299.99,23. Oct 19 
Snakes,Baby Granite Spotted Python,Antaresia maculosa,$89.99,23. Oct 19 
Lizards,Rudis Chameleon,Trioceros rudis,$39.99,23. Oct 19 
Turtles,Baby Razorback Musk Turtle,null,$34.99,23. Oct 19 
Inverts,Dune Scorpion,Smeringurus mesaensis,$9.99,23. Oct 19 
Snakes,Checkered Garter Snake,Thamnophis marcianus,$24.99,23. Oct 19 
Inverts,Pumpkin Patch Tarantula,null,$39.99,23. Oct 19 
Snakes,Baby Black Racer Snake,Coluber constrictor,$9.99,23. Oct 19 
Amphibians,Fleischmann’s Glass Frog,null,$29.99,23. Oct 19 
Turtles,Baby Two Headed Snapping Turtle,null,"$3,999.99",23. Oct 19 
Lizards,Brookesia Therezieni,Brookesia therezieni,$74.99,23. Oct 19 
Lizards,Calotes Versicolor,null,$11.99,23. Oct 19 
Amphibians,African Common Toad,Amietophrynus gutturalis,$4.99,25. May 19 
Lizards,Baby Morroccan Uromastyx,Uromastyx acanthinurus,$124.99,23. May 19 
Lizards,Baby Giant Mexican Horn Lizard,Phrynosoma asio,$149.99,23. May 19 
Lizards,Baby Abronia Taeniata,null,$149.99,23. May 19 
Lizards,Fire Skink,Lepidothyris fernandi,$24.99,23. May 19 
Lizards,6-8 Inch Citrus Bearded Dragon,Pogona vitticeps,$49.99,23. May 19 
Lizards,Sakishima Grass Lizard,Takydromus dorsalis,$224.99,23. May 19 
Snakes,Baby Dumeril’s Boa,Acrantophis dumerili,$224.99,23. May 19 
Turtles,Baby Eastern Mud Turtle,Kinosternon subrubrum hippocrepis,$34.99,22. May 19 
Snakes,2-3 Foot Gopher Snake,Pituophis catenifer sayi,$64.99,22. May 19 
Snakes,Baby Cornsnake,Pantherophis guttatus,$39.99,22. Oct 19 
Inverts,Skeleton Leg Tarantula,null,$34.99,22. Oct 19 
Lizards,Adult Cuban Knight Anole,Anolis equestris,$9.99,22. Oct 19 
Snakes,Baby Scaleless Head Banana Pastel Ball Python,Python regius,$499.99,22. Oct 19 
Amphibians,Cuban Tree Frog,Osteopilus septentrionalis,$4.99,22. Oct 19 
Turtles,Yearling Pearl River Map Turtle,“Pascagoula Map Turtle”,$124.99,22. Oct 19 
Snakes,Baby Barons Racers,Philodryas baroni,$149.99,22. Oct 19 
Snakes,Baby Albino Rosy Boas,Lichanura trivirgata,$149.99,22. Oct 19 
Snakes,Baby Argentine Boa Constrictor,Boa constrictor occidentalis,$174.99,22. Oct 19 
Amphibians,Yellowback Tinctorius Dart Frog,Dendrobates tinctorius,$39.99,22. Oct 19 
Amphibians,Marine Toad,Bufo marinus,$4.99,22. Oct 19 
Lizards,Baby Tanimbar Blue Tongue Skink,T. scincoides chimaerea,$249.99,22. Oct 19 
Amphibians,Squirrel Tree Frog,Hyla squirella,$2.99,22. Oct 19 
Amphibians,Couch’s Spadefoot Toad,null,$9.99,22. Oct 19 
Amphibians,Bird Poop Tree Frog,Hyla marmorata,$24.99,22. Oct 19 
Geckos,Baby Tokay Gecko,null,$20.00,22. Oct 19 
Snakes,Orange Banded Amazon Tree Boa,Corallus hortulanus,$199.99,16. May 19 
Amphibians,Large Tomato Frog,Dyscophus guineti,$29.99,15. May 19 
Venomous,Red Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$499.99,15. May 19 
Lizards,Juvenile Frilled Dragon,Chlamydosaurus kingii,$199.99,15. May 19 
Snakes,Baby Water Snake,Nerodia taxispilota,$19.99,15. May 19 
Tegus,Baby Ice Tegu,Tupinambis Merianae X Tupinambis rufescens,$349.99,15. May 19 
Amphibians,Great Plains Toad,Anaxyrus cognatus,$6.99,14. May 19 
Isopods,“Peach” Nosy Roly-Poly Isopods,Armadillidium nasatum,$9.99,14. May 19 
Geckos,Short Fingered Gecko,Stenodactylus sthenodactylus,$24.99,14. May 19 
Amphibians,Powder Grey Tinctorius Dart Frog,Dendrobates tinctorius,$34.99,21. Oct 19 
Turtles,Baby Vietnamese Pond Turtle,Mauremys annamensis,$74.99,21. Oct 19 
Amphibians,Clown Tree Frog,Hyla leucophyllata,$29.99,21. Oct 19 
Amphibians,Baby Tomato Frog,Dyscophus guineti,$34.99,21. Oct 19 
Lizards,Butterfly Agama,null,$24.99,21. Oct 19 
Lizards,Oaxacana Spiny tail iguana,Ctenosaura Oaxacana,$499.99,21. Oct 19 
Isopods,Dwarf White Isopods,Trichorhina tomentosa,$12.49,21. Oct 19 
Inverts,Mexican Fireleg Tarantula,Brachypelma boehmei,$89.99,21. Oct 19 
Lizards,Zonosaurus quadrileneatus,Zonosaurus quadrileneatus,$14.99,21. Oct 19 
Snakes,Yearling Albino Kenyan Sand Boa,Eryx colubrinus,$149.99,21. Oct 19 
Turtles,Yearling Northern Black Knob Map Turtles,Graptemys nigrinoda,$124.99,21. Oct 19 
Lizards,Mali Uromastyx,Uromastyx “dispar” maliensis,$74.99,21. Oct 19 
Tortoises,Baby Ivory Sulcata Tortoise,Centrochelys sulcata,$549.99,21. Oct 19 
Snakes,Baby Rusty Licorice Rat Snake,Elaphe obsoleta obsoleta,$49.99,21. Oct 19 
Snakes,Baby Albino Darwin’s Carpet Python,null,$299.99,21. Oct 19 
Snakes,Baby Irian Jaya Granite Carpet Python,Morelia spilota variegata,$249.99,21. Oct 19 
Lizards,Baby Eastern Collared Lizard,Crotaphytus collaris,$29.99,06. May 19 
Snakes,Saharan Sand Boa,Eryx colubrinus,$64.99,06. May 19 
Snakes,Baby Irian Jaya Carpet Python,Morelia spilota variegata,$99.99,04. May 19 
Snakes,Orange Patternless Amazon Tree Boa,Corallus hortulanus,$199.99,04. May 19 
Inverts,Tucson Blonde Tarantula,null,$39.99,03. May 19 
Venomous,Baby Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$124.99,03. May 19 
Snakes,Baby Merauke X Aru X Biak Green Tree Python,Morelia vridis,$449.99,03. May 19 
Turtles,Baby Pastel Hypo Mississippi Map Turtle,Graptemys pseudogeographica kohni,$499.99,02. May 19 
Geckos,Lined Day Gecko,null,$39.99,01. May 19 
Snakes,Awl Headed Snake,Lytorhynchus diadema,$99.99,29. Apr 19 
Snakes,Baby Magenta Florida Kingsnake,Lampropeltis getula floridana,$299.99,20. Oct 19 
Snakes,Baby Irian Jaya Jaguar Carpet Python,Morelia spilota variegata,$199.99,20. Oct 19 
Snakes,Baby Coral Ghost Cornsnake,Pantherophis guttatus,$49.99,20. Oct 19 
Lizards,Baby Green Iguana,Iguana iguana,$14.99,20. Oct 19 
Snakes,Baby Normal Corn Snake,Pantherophis guttatus,$24.99,20. Oct 19 
Snakes,Baby Hypo Sinaloan Milksnake,Lampropeltis triangulum,$74.99,20. Oct 19 
Snakes,Baby Tangerine Honduran Milksnake,Lampropeltis triangulum hondurensis,$99.99,20. Oct 19 
Lizards,Brookesia brygooi,null,$84.99,20. Oct 19 
Amphibians,Long Tail Salamander,Eurycea longicauda,$29.99,20. Oct 19 
Turtles,Spotted Turtle,Clemmys guttata,$249.99,20. Oct 19 
Snakes,Baby San Matias Rosy Boa,null,$89.99,20. Oct 19 
Snakes,Baby Jungle Carpet Python,null,$174.99,20. Oct 19 
Lizards,Desert Iguana,Dipsosaurus dorsalis,$34.99,20. Oct 19 
Amphibians,Brown Fantasy Pacman Frog,C. cornuta X C. cranwelli,$34.99,20. Oct 19 
Geckos,House Gecko,Hemidactylus frenatus,$2.99,12. Apr 19 
Turtles,Baby Reeves Turtle,null,$59.99,11. Apr 19 
Snakes,Baby Coral Ghost Stripe Cornsnake,Pantherophis guttatus,$149.99,11. Apr 19 
Venomous,Congo Puff Adder,null,$499.99,11. Apr 19 
Amphibians,Spotted Salamander,null,$19.99,11. Apr 19 
Venomous,Collett’s Snake,null,"$1,199.99",11. Apr 19 
Snakes,Baby Rusty Rat Snake,Pantherophis obsoletus,$34.99,10. Apr 19 
Snakes,Baby T Negative Albino Blood Python,Python brongersMay,$249.99,10. Apr 19 
Venomous,Baby King Cobra,Ophiophagus hannah,$599.99,07. Apr 19 
Snakes,Baby Caramel Tiger Jaguar Carpet Python,Morelia spilota mcdowelli,$274.99,07. Apr 19 
Inverts,Shield Mantis,Rhombodera basalis,$19.99,19. Oct 19 
Geckos,Baby Carrot Top Pinstripe Crested Gecko,Correlophus ciliatus,$174.99,18. Oct 19 
Geckos,Tokay Gecko,Gekko gecko,$14.99,18. Oct 19 
Amphibians,Highland Bronze Auratus Dart Frog,Dendrobates auratus,$34.99,18. Oct 19 
Amphibians,Baby Dwarf Budgett’s Frog,null,$49.99,18. Oct 19 
Inverts,Horrid King Assassin Bug,null,$24.99,18. Oct 19 
Snakes,Red Beak Snake,Rhamphiophis rubropunctatus,$74.99,18. Oct 19 
Tortoises,Baby Hypo Sulcata Tortoise,Centrochelys sulcata,$999.99,18. Oct 19 
Lizards,Sand Fish,Scincus scincus,$29.99,18. Oct 19 
Turtles,Indian Brown Roofed Turtle,null,$449.99,18. Oct 19 
Snakes,Blond Hognose Snake,null,$149.99,18. Oct 19 
Inverts,California Scorpion,Paruroctonus silvestrii,$14.99,18. Oct 19 
Snakes,Banded Water Snake,Nerodia fasciata,$14.99,18. Oct 19 
Snakes,Baby Cotton Candy Ghost Cornsnake,null,$99.99,18. Oct 19 
Lizards,6-8 Inch Nosy Be Panther Chameleon,null,$199.99,18. Oct 19 
Snakes,Baby Purple Line Anaconda Western Hognose Snake,Heterodon nasicus,$149.99,18. Oct 19 
Snakes,Baby Biak Green Tree Python,Morelia viridis,$299.99,11. May 19 
Snakes,Baby Hypo Cornsnake,null,$49.99,11. May 19 
Lizards,Baby Translucent Silky (Scaleless) Bearded Dragon,Pogona vitticeps,$149.99,11. May 19 
Tegus,Baby Blue Tegu,Tupinambis Merianae,$399.99,09. May 19 
Inverts,Solomon Island Giant Red Centipede,Ethmostigmus rubripes,$399.99,08. May 19 
Snakes,Baby Okeetee Cornsnake,Elaphe guttata guttata,$39.99,07. May 19 
Turtles,Baby Southern Black Knob Map Turtles,Graptemys nigrinoda delticola,$149.99,06. May 19 
Lizards,Sailfin Dragon,null,$109.99,06. May 19 
Snakes,Baby Hypo Motley Cornsnake,Pantherophis guttatus,$59.99,06. May 19 
Amphibians,Mossy Tree Frog,null,$79.99,05. May 19 
Snakes,Baby Prairie Kingsnake,Lampropeltis calligaster calligaster,$49.99,17. Oct 19 
Geckos,Baby Leucistic Leopard Gecko,null,$34.99,17. Oct 19 
Turtles,European Pond Turtle,Emys orbicularis,$64.99,17. Oct 19 
Lizards,Adult Male Translucent Veiled Chameleon,Chamaeleo calyptratus,$99.99,17. Oct 19 
Geckos,Tiger Gecko,Pachydactylus tigrinus,$29.99,16. Oct 19 
Snakes,Baby Mexican Black Kingsnake,Lampropeltis getula nigrita,$199.99,16. Oct 19 
Snakes,Baby Colombian x Bolivian Redtail Boa,Boa constrictor imperator x amarali,$99.99,16. Oct 19 
Snakes,Baby Strawberry Amelanistic Cornsnake,null,$49.99,16. Oct 19 
Geckos,Panther Gecko,Paroedura pictus,$19.99,16. Oct 19 
Geckos,Baby Orange And Yellow Super Stripe Gargoyle Gecko,Rhacodactylus auriculatus,$299.99,16. Oct 19 
Snakes,Baby Ball Python,Python regius,$39.99,16. Oct 19 
Snakes,Tanzanian Egg Eating Snake,Dasypeltis scabra,$34.99,01. May 19 
Snakes,Baby Anery Cornsnake,Pantherophis guttatus,$49.99,28. Feb 19 
Inverts,Bengal Four Spotted Ornamental Tarantula,Poecilotheria miranda,$59.99,28. Feb 19 
Amphibians,Green Pacman Frog,Ceratophrys cranwelli,$14.99,27. Feb 19 
Tortoises,Baby Redfoot Tortoise,Chelonoidis carbonaria,$124.99,26. Feb 19 
Snakes,Brazilian Rainbow Boa,Epicrates cenchria,$224.99,26. Feb 19 
Inverts,Vinegaroon,Mastigoproctus giganteus giganteus,$29.99,25. Feb 19 
Amphibians,Giraffe Tree Frog,Dendropsophus reticulatus,$49.99,25. Feb 19 
Inverts,Colombian Purple Pinktoe Tarantula,Avicularia purple,$49.99,25. Feb 19 
Snakes,Baby Eastern Hognose Snake,Heterodon platirhinos,$124.99,24. Feb 19 
Geckos,Saklava Velvet Gecko,Blaesodactylus sakalava,$24.99,15. Oct 19 
Geckos,Mourning Gecko,Lepidodactylus lugubris,$24.99,15. Oct 19 
Snakes,Baby Albino Paradox Kenyan Sand Boa,Eryx colubrinus,$149.99,15. Oct 19 
Turtles,Senegal Flapshell Turtle,Cyclanorbis senegalensis,$199.99,15. Oct 19 
Geckos,Wahlberg’s Velvet Gecko,null,$59.99,15. Oct 19 
Lizards,Rainbow Whiptail,Cnemidophorus lemniscatus,$24.99,15. Oct 19 
Snakes,Baby Pearl Island Boa Constrictor,Boa constrictor sabogae,$399.99,15. Oct 19 
Snakes,Baby Snow Cornsnake,Pantherophis guttatus,$69.99,15. Oct 19 
Lizards,Baby Hypo Translucent Bearded Dragon,Pogona vitticeps,$74.99,15. Oct 19 
Lizards,Adult Chinese Water Dragon,Physignathus cocincinus,$29.99,15. Oct 19 
Turtles,West African Helmetted Turtle,null,$29.99,17. Feb 19 
Geckos,Baby Orange Harlequin Crested Gecko,Correlophus ciliatus,$174.99,17. Feb 19 
Turtles,Western Painted Turtle,Chrysemys picta,$19.99,17. Feb 19 
Snakes,Baby Snow Kenyan Sand Boa,Eryx colubrinus,$174.99,16. Feb 19 
Geckos,Halmahera Gecko,Gehyra marginata,$59.99,15. Feb 19 
Snakes,Baby Butter Cornsnake,Pantherophis guttatus,$49.99,15. Feb 19 
Snakes,Wolf Snake,Lycodon capucinus,$149.99,15. Feb 19 
Snakes,Baby Anery Kenyan Sand Boa,Eryx colubrinus,$69.99,14. Feb 19 
Snakes,Speckled Hognose Snake,Leioheterodon geayi,$174.99,13. Oct 19 
Inverts,Mexican Redknee Tarantula,Brachypelma smithi,$69.99,13. Oct 19 
Inverts,Brazilian Blue Green Pinktoe Tarantula,Avicularia geroldi,$89.99,13. Oct 19 
Inverts,Chilean Tiger Rump Spider,Acanthogonatus francki,$29.99,13. Oct 19 
Geckos,Brooks House Gecko,Hemidactylus brookii,$4.99,13. Oct 19 
Snakes,Mangrove Salt Marsh Snake Het Anery,null,$149.99,13. Oct 19 
Turtles,Scorpion Mud Turtle,Kinosternon scorpioides,$74.99,13. Oct 19 
Snakes,Baby Super Pastel HRA Yellowbelly Ball Python,null,$399.99,13. Oct 19 
Lizards,Starred Agama,Stellagama stellio,$69.99,13. Oct 19 
Venomous,Baby Monocled Cobra Double Het Albino Suphan,Naja kaouthia,$249.99,12. Oct 19 
Amphibians,Leucistic Axolotl,Ambystoma mexicanum,$24.99,12. Oct 19 
Snakes,Baby Scaleless Head Pastel Ball Python,Python regius,$299.99,12. Oct 19 
Lizards,2-3 Foot Green Iguana,Iguana iguana,$24.99,12. Oct 19 
Amphibians,High Red Ornate Pacman Frog,null,$39.99,12. Oct 19 
Venomous,Baby Nimibian Coral Cobra,null,$299.99,31. Jan 19 
Amphibians,Purple Harlequin Toad,null,$59.99,28. Jan 19 
Tegus,Baby Bruiser Tegu,Tupinambis Merianae,$299.99,27. Jan 19 
Snakes,Northern Garter Snake,Thamnophis sirtalis,$19.99,27. Jan 19 
Tegus,Baby Chacoan White Headed Tegu,TUPINAMBIS MERIANAE,$179.99,27. Jan 19 
Snakes,Baby Bull Snake,Pituophis catenifer sayi,$59.99,26. Jan 19 
Amphibians,Splash Back Dart Frog,Adelphobates galactonotus,$69.99,25. Jan 19 
Snakes,Solomon Island Tree Boa,Candoia bibroni,$149.99,25. Jan 19 
Lizards,Peter’s Banded Skink,null,$49.99,11. Oct 19 
Amphibians,C.B. Baby Red Eye Tree Frogs,Agalychnis callidryas,$19.99,11. Oct 19 
Snakes,Indonesian Tree Boa,Candoia carinata carinata,$59.99,11. Oct 19 
Inverts,Bahia Scarlet Birdeater Tarantula,Lasiodora klugi,$24.99,11. Oct 19 
Snakes,Patterned Red Amazon Tree Boa,Corallus hortulanus,$199.99,10. Oct 19 
Turtles,Baby Cumberland Slider Turtle,Trachemys scripta troostii,$9.99,10. Oct 19 
Lizards,Baby Fire Skink,Lepidothyris fernandi,$39.99,10. Oct 19 
Geckos,Baby Chinese Cave Geckos,Goniurosaurus luii,$64.99,10. Oct 19 
Snakes,Mexican Redtail Indigo,Drymarchon melanurus rubidus,"$1,999.99",10. Oct 19 
Lizards,Green Tree Monitor,null,"$1,249.99",10. Oct 19 
Geckos,Albino Leopard Gecko,Eublepharis macularius,$49.99,10. Oct 19 
Snakes,Baby San Isabel Solomon Island Ground Boa,Candoia carinata paulsoni,$44.99,10. Oct 19 
Lizards,Juvenile Abronia Mixteca,Abronia mixteca,$199.99,10. Oct 19 
Snakes,Baby Albino Brooks Kingsnake,Lampropeltis getula brooksi,$69.99,10. Oct 19 
Lizards,Long Tailed Grass Lizard,Takydromus sexlineatus,$7.49,10. Oct 19 
Snakes,Baby Thailand Bamboo Ratsnake,Oreocryptophis porphyraceus coxi,$249.99,02. Jan 19 
Snakes,Yearling San Felipe Rosy Boa,null,$99.99,09. Oct 19 
Tortoises,Speke’s Hingeback Tortoise,null,$74.99,09. Oct 19 
Lizards,Black And White Chuckwalla,Sauromalus ater,$199.99,09. Oct 19 
Geckos,Giant Leaf Tail Gecko,Uroplatus fimbriatus,$299.99,09. Oct 19 
Snakes,Baby Albino Motley Cornsnake,Pantherophis guttatus,$39.99,09. Oct 19 
Lizards,Nosy Be Panther Chameleon,null,$249.99,09. Oct 19 
Inverts,Wessel’s Tiger Ornamental Tarantula,Poecilotheria tigrinawesseli,$59.99,09. Oct 19 
Snakes,Paradise Tree Snake,Chrysopelea paradisi,$249.99,09. Oct 19 
Amphibians,Baby Golden Mantella,null,$79.99,09. Oct 19 
Snakes,Baby Twin Stripe Aberrant California Kingsnake,Lampropeltis getula californiae,$149.99,09. Oct 19 
Amphibians,4 Spot Patternless Pacman Frog,null,$24.99,09. Oct 19 
Amphibians,Yellow Harlequin Toad,Atelopus pulcher,$64.99,09. Oct 19 
Snakes,Baby Spotted Python,Antaresia maculosa,$49.99,09. Oct 19 
Inverts,South American Green Praying Mantis,Oxyopsis gracilis,$29.99,09. Oct 19 
Snakes,Black House Snake,null,$64.99,09. Oct 19 
Inverts,Double Shield Mantis,Pnigomantis medioconstricta,$49.99,08. Oct 19 
Amphibians,Mountain Chicken Frog,Leptodactylus fallax,$44.99,08. Oct 19 
Snakes,Baby Savu Python,Liasis mackloti savuensis,$124.99,08. Oct 19 
