Species,Common name,Scientific name,Price,months
Snakes,Baby Jayapura Green Tree Python,Morelia viridis,$399.99,9
Inverts,Tailless Whip Scorpion,Damon variegatus,$19.99,9
Amphibians,Crested Toad,Rhinella margaritifera,$24.99,9
Amphibians,High Red Dragon Wing Ornate Pacman Frog,Ceratophrys cranwelli,$49.99,9
Inverts,Stout Leg Baboon Tarantula,Eurcratoscelus pachypus,$14.99,9
Lizards,Solomon Island Black Tree Skink,,$39.99,9
Inverts,Giant Thorny Phasmid,Eurycantha calcarata,$24.99,9
Amphibians,Marbled Salamander,,$19.99,9
Lizards,9 to 11 inch Translucent Veiled Chameleon,,$84.99,10
Turtles,Baby Common Snapping Turtles,,$9.99,10
Inverts,Dark Earth Tiger Tarantula,chilobrachys huahini,$34.99,10
Snakes,Baby Black-Necked Gartersnake,Thamnophis cyrtopsis,$39.99,10
Lizards,Adult Spiny Tailed Iguana,Ctenasaura similis,$49.99,10
Snakes,Baby Coastal Carpet Python,Morelia spilota mcdowelli,$99.99,10
Snakes,Meruke Amethystine Python,Morelia amethystina,$299.99,10
Inverts,Budwing Mantis,Parasphendale Budwing,$34.99,10
Turtles,Ornate Wood Turtle,Rhinoclemmys pulcherimma manni,$39.99,10
Snakes,Baby Lavendar Flame Brooks Kingsnake,Lampropeltis getula brooksi,$124.99,10
Inverts,Thai Giant Walking Stick Insect,Pharnacia sp.,$24.99,10
Turtles,Baby Mississippi Mud Turtle,Kinosternon subrubrum hippocrepis,$29.99,10
Turtles,Baby Pastel Florida Softshell Turtle,Apalone ferox,$49.99,10
Lizards,Yellow Throated Plated Lizard,Gerrhosaurus flavigularis,$19.99,10
Inverts,Tunisian Fat Tail Scorpion,Androctonus australis,$39.99,10
Tegus,Baby Caiman Lizard,Dracaena guianensis,$499.99,10
Amphibians,Melanoid Axolotl,Ambystoma mexicanum,$24.99,10
Snakes,Eastern Blue Garter Snake,Thamnophis sirtalis similis,$49.99,10
Lizards,Roundtail Horned Lizard,,$249.99,9
Geckos,Baby Aptor Leopard Gecko,Eublepharis macularius,$39.99,9
Snakes,Baby Mexican Milksnake,Lampropeltis triangulum annulata,$49.99,9
Snakes,Baby Dice Water Snake,Natrix tessellata,$24.99,9
Amphibians,Colorado River Toad,Incilius alvarius,$39.99,9
Snakes,Baby Cyclops Mountain Green Tree Python,Morelia viridis,$449.99,9
Venomous,Papuan Black Snake,,$799.99,9
Inverts,Mexican Red Leg Tarantula,Brachypelma emilia,$149.99,9
Lizards,Baby Inferno Bearded Dragon,Pogona vitticeps,$74.99,9
Lizards,Graceful Chameleon,Chamaeleo Gracilis,$14.99,10
Snakes,Queen Snake,,$34.99,10
Amphibians,Phyllobates aurotaenia,Phyllobates aurotaenia,$24.99,10
Amphibians,Cave Salamander,Eurycea lucifuga,$39.99,10
Lizards,Crested Dragon,,$29.99,10
Lizards,Monkey Tailed Skink,,$849.99,10
Snakes,Baby Caramel Motley Cornsnake,Pantherophis guttatus,$59.99,10
Snakes,Baby Pied Ball Python,,$349.99,10
Snakes,Baby Scaleless Everglades Ratsnake,Elaphe obsoleta rossalleni,$149.99,10
Inverts,South American Bark Scorpion,Tityus Paramensis,$64.99,10
Turtles,Baby Southern Painted Turtle,Chrysemys picta dorsalis,$29.99,10
Lizards,Pygmy Mulga Monitor,Varanus gilleni,$349.99,10
Snakes,Baby Brazilian Rainbow Boa,Epicrates cenchria,$199.99,10
Lizards,Senegal Chameleon,Chamaeleo senegalensis,$29.99,10
Lizards,Guyana Collard Lizard,Tropidurus hispidus,$14.99,10
Snakes,Baby Albino Sinaloan Milksnake,Lampropeltis triangulum,$74.99,8
Lizards,Zebra Tailed Lizards,,$14.99,8
Amphibians,Super Blue Auratus Dart Frog,Dendrobates auratus,$39.99,8
Venomous,Baby Albino Het Scaleless Western Diamondback Rattlesnake,Crotalus atrox,$349.99,8
Inverts,Black Fat Tail Scorpion,,$34.99,8
Snakes,Baby Irian Jaya Zebra Carpet Python,Morelia spilota variegata x cheynei,$174.99,8
Lizards,South African Flat Rock Lizard,Platysaurus guttatus,$29.99,8
Snakes,Baby Black Blood Python,Python curtus,$149.99,8
